preco,area,quartos,banheiros,andares,acesso_rodovia,quarto_hospede,porao,aquecimento_agua,ar_condicionado,vagas_estacionamento,area_preferencial,status_mobilia_sem-mobilia,status_mobilia_semi-mobiliada
13300000,689.318,4,2,3,1,0,0,0,1,2,1,0,0
12250000,832.384,4,4,4,1,0,0,0,1,3,0,0,0
12250000,925.284,3,2,2,1,0,1,0,0,2,1,0,1
12215000,696.75,4,2,2,1,0,1,0,1,3,1,0,0
11410000,689.318,4,1,2,1,1,1,0,1,2,0,0,0
10850000,696.75,3,3,1,1,0,1,0,1,2,1,0,1
10150000,797.082,4,3,4,1,0,0,0,1,2,1,0,1
10150000,1504.98,5,3,2,1,0,0,0,0,0,0,1,0
9870000,752.49,4,1,2,1,1,1,0,1,2,1,0,0
9800000,534.175,3,2,4,1,1,0,0,1,1,1,1,0
9800000,1226.28,3,1,2,1,0,1,0,1,2,1,0,0
9681000,557.4,4,3,2,1,1,1,1,0,2,0,0,1
9310000,608.495,4,2,2,1,0,0,0,1,1,1,0,1
9240000,325.15,4,2,2,1,0,0,1,0,2,0,0,0
9240000,724.62,3,2,2,1,0,0,0,0,0,1,0,1
9100000,557.4,4,1,2,1,0,1,0,0,2,0,0,1
9100000,613.14,4,2,2,1,1,1,0,1,1,1,1,0
8960000,789.65,3,2,4,1,0,0,0,1,2,0,0,0
8890000,427.34,3,2,2,1,1,0,0,1,2,0,0,0
8855000,596.418,3,2,2,1,0,0,0,1,1,1,0,1
8750000,401.328,3,1,2,1,0,1,1,0,2,0,0,1
8680000,664.6995,3,2,1,1,1,1,0,1,2,0,1,0
8645000,747.845,3,1,1,1,1,1,0,1,1,0,0,0
8645000,423.62399999999997,3,2,2,1,1,1,0,1,1,0,0,0
8575000,817.52,3,2,2,1,0,0,0,1,2,0,0,0
8540000,607.566,4,2,2,1,1,1,0,1,2,1,0,0
8463000,557.4,3,2,4,1,1,1,0,1,0,1,0,1
8400000,824.4875,3,1,1,1,0,0,0,0,1,0,0,1
8400000,738.555,5,2,2,1,0,1,1,0,2,0,1,0
8400000,510.95,4,2,2,1,0,1,0,1,1,1,0,1
8400000,694.4275,3,2,4,1,0,0,0,1,2,0,1,0
8400000,650.3,3,1,4,1,0,0,0,1,2,0,0,1
8295000,453.352,4,2,2,1,0,0,0,1,1,1,0,0
8190000,553.684,3,3,2,1,1,1,0,0,1,0,1,0
8120000,635.4359999999999,5,1,2,1,1,1,0,1,1,0,0,0
8080940,650.3,3,2,4,1,0,0,0,1,2,0,0,0
8043000,695.0778,3,2,3,1,0,0,1,0,1,1,0,0
7980000,836.1,4,2,4,1,0,0,0,1,2,0,0,0
7962500,557.4,3,1,4,1,1,0,0,1,2,0,1,0
7910000,557.4,4,2,4,1,0,0,0,1,1,0,0,1
7875000,608.495,3,1,2,1,0,1,0,1,0,1,0,0
7840000,590.8439999999999,3,2,4,1,0,0,0,1,0,1,0,0
7700000,601.992,3,2,4,1,0,0,0,1,2,0,1,0
7700000,557.4,4,2,4,1,0,0,0,0,2,0,0,1
7560000,557.4,4,2,4,1,0,0,0,1,1,0,0,0
7560000,557.4,3,2,3,1,0,0,0,1,0,0,0,1
7525000,557.4,3,2,4,1,0,0,0,1,1,0,0,0
7490000,613.14,3,1,4,1,0,0,0,1,3,1,0,0
7455000,399.46999999999997,3,2,2,1,0,1,0,0,1,0,1,0
7420000,691.1759999999999,3,2,1,1,1,1,0,1,0,1,0,1
7420000,691.1759999999999,3,2,4,1,0,0,0,0,1,1,1,0
7420000,587.5925,3,1,4,1,0,0,0,1,1,0,1,0
7350000,557.4,4,2,4,1,1,0,0,1,1,0,0,0
7350000,478.435,3,2,4,1,0,0,0,1,2,0,0,1
7350000,557.4,3,2,2,1,1,0,0,1,1,0,0,1
7350000,557.4,3,1,2,1,0,0,0,1,1,0,1,0
7343000,1062.776,4,1,2,1,0,1,0,0,1,1,0,1
7245000,836.1,4,2,4,1,1,0,0,1,1,1,0,0
7210000,713.472,4,2,4,1,1,0,0,1,1,0,0,1
7210000,557.4,3,2,4,1,1,0,0,1,1,0,0,0
7140000,557.4,3,2,2,1,1,0,0,0,1,0,0,1
7070000,824.952,2,1,1,1,0,0,0,1,1,0,0,1
7070000,579.696,4,2,2,1,0,0,0,1,1,0,0,0
7035000,590.8439999999999,4,2,3,1,0,0,0,1,2,1,0,0
7000000,1038.1575,3,1,1,1,0,1,0,1,1,1,0,0
6930000,824.952,3,2,2,1,0,1,0,1,1,0,0,0
6930000,1226.28,2,1,1,1,0,1,1,0,1,0,0,0
6895000,715.3299999999999,3,2,1,1,0,0,0,0,2,0,1,0
6860000,557.4,3,1,1,1,0,0,0,1,1,0,0,0
6790000,1123.161,4,2,2,1,0,0,0,0,2,1,0,0
6790000,371.59999999999997,3,2,2,1,0,1,0,1,0,1,0,1
6755000,557.4,4,2,4,1,0,0,0,1,0,0,1,0
6720000,466.358,3,1,4,1,0,0,0,1,0,1,1,0
6685000,613.14,2,2,4,1,0,1,0,0,0,1,0,0
6650000,375.316,3,1,2,1,0,1,1,0,1,0,0,0
6650000,395.75399999999996,4,2,2,1,0,0,1,0,0,0,0,1
6650000,596.418,3,2,3,1,0,0,0,1,0,1,0,0
6650000,603.85,3,2,3,1,0,0,0,1,0,1,0,0
6650000,529.53,3,1,1,1,1,1,0,1,2,1,0,0
6650000,557.4,3,2,3,1,1,0,0,1,0,0,0,0
6629000,557.4,3,1,2,1,0,0,1,0,1,1,0,1
6615000,371.59999999999997,3,2,2,1,0,1,0,1,1,0,0,1
